scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2030,declining,0
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2035,declining,-0.11978221415607986
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2040,declining,-0.147005444646098
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2045,declining,-0.22141560798548093
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2050,declining,-0.2595281306715064
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2030,declining,0
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2030,declining,0
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2035,declining,-0.2078014184397163
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2035,declining,-0.11418685121107255
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2040,declining,-0.31560283687943264
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2040,declining,-0.23183391003460208
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2045,declining,-0.38581560283687943
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2045,declining,-0.32179930795847744
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2050,declining,-0.4304964539007092
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2050,declining,-0.4186851211072664
AdvancedEconomies,WEO2021_APS,Power,GW,CoalCap,2030,declining,0
AdvancedEconomies,WEO2021_APS,Power,GW,GasCap,2030,declining,0
AdvancedEconomies,WEO2021_APS,Power,GW,HydroCap,2030,increasing,0
AdvancedEconomies,WEO2021_APS,Power,GW,NuclearCap,2030,increasing,0
AdvancedEconomies,WEO2021_APS,Power,GW,OilCap,2030,declining,0
AdvancedEconomies,WEO2021_APS,Power,GW,RenewablesCap,2030,increasing,0
AdvancedEconomies,WEO2021_APS,Power,GW,CoalCap,2035,declining,-0.523503193493544
