scenario_geography,country,country_iso,reg_count,scenario
Africa,Algeria,DZ,56,WEO2021_APS
Africa,Algeria,DZ,56,WEO2021_SDS
Africa,Algeria,DZ,56,WEO2021_STEPS
Africa,Algeria,DZ,56,IPR2021_baseline
Africa,Angola,AO,56,WEO2021_APS
Africa,Angola,AO,56,WEO2021_SDS
Africa,Angola,AO,56,WEO2021_STEPS
Africa,Angola,AO,56,IPR2021_baseline
Africa,Benin,BJ,56,WEO2021_APS
Africa,Benin,BJ,56,WEO2021_SDS
Africa,Benin,BJ,56,WEO2021_STEPS
Africa,Benin,BJ,56,IPR2021_baseline
Africa,Botswana,BW,56,WEO2021_APS
Africa,Botswana,BW,56,WEO2021_SDS
Africa,Botswana,BW,56,WEO2021_STEPS
Africa,Botswana,BW,56,IPR2021_baseline
Africa,Burkina Faso,BF,56,WEO2021_APS
Africa,Burkina Faso,BF,56,WEO2021_SDS
Africa,Burkina Faso,BF,56,WEO2021_STEPS
Africa,Burkina Faso,BF,56,IPR2021_baseline
Africa,Burundi,BI,56,WEO2021_APS
Africa,Burundi,BI,56,WEO2021_SDS
Africa,Burundi,BI,56,WEO2021_STEPS
Africa,Burundi,BI,56,IPR2021_baseline
Africa,Cape Verde,CV,56,WEO2021_APS
Africa,Cape Verde,CV,56,WEO2021_SDS
Africa,Cape Verde,CV,56,WEO2021_STEPS
Africa,Cape Verde,CV,56,IPR2021_baseline
Africa,Cameroon,CM,56,WEO2021_APS
Africa,Cameroon,CM,56,WEO2021_SDS
Africa,Cameroon,CM,56,WEO2021_STEPS
Africa,Cameroon,CM,56,IPR2021_baseline
Africa,Central African Republic,CF,56,WEO2021_APS
Africa,Central African Republic,CF,56,WEO2021_SDS
Africa,Central African Republic,CF,56,WEO2021_STEPS
Africa,Central African Republic,CF,56,IPR2021_baseline
Africa,Chad,TD,56,WEO2021_APS
Africa,Chad,TD,56,WEO2021_SDS
Africa,Chad,TD,56,WEO2021_STEPS
Africa,Chad,TD,56,IPR2021_baseline
Africa,Comoros,KM,56,WEO2021_APS
Africa,Comoros,KM,56,WEO2021_SDS
Africa,Comoros,KM,56,WEO2021_STEPS
Africa,Comoros,KM,56,IPR2021_baseline
Africa,Cote d'Ivoire,CI,56,WEO2021_APS
Africa,Cote d'Ivoire,CI,56,WEO2021_SDS
Africa,Cote d'Ivoire,CI,56,WEO2021_STEPS
Africa,Cote d'Ivoire,CI,56,IPR2021_baseline
Africa,Djibouti,DJ,56,WEO2021_APS
Africa,Djibouti,DJ,56,WEO2021_SDS
Africa,Djibouti,DJ,56,WEO2021_STEPS
Africa,Djibouti,DJ,56,IPR2021_baseline
Africa,Egypt,EG,56,WEO2021_APS
Africa,Egypt,EG,56,WEO2021_SDS
