Source,Indicator,Sector,Units,Scenario,ScenarioGeography,Technology,Sub_Technology,2018,2019,2025,2030,2040,SourceSheet
WEO2020,Production,Fossil Fuels,mb/d,SPS,North America,Oil,NA,23.029,24.6912,27.6785,28.8816,27.2873,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Central and South America,Oil,NA,6.6407,6.3218,7.32939,7.86072,9.27282,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Europe,Oil,NA,3.6782,3.5418,3.8089,2.99892,2.06827,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,European Union,Oil,NA,0.5457,0.4925,0.43374,0.36082,0.28508,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Africa,Oil,NA,8.2889,8.4316,6.93445,7.21229,7.30242,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Middle East,Oil,NA,31.6941,30.1801,31.131,33.4076,36.3876,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Eurasia,Oil,NA,14.4885,14.5462,13.9088,13.8982,13.2292,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Asia Pacific,Oil,NA,7.6991,7.7304,6.6888,6.37696,5.75537,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,OECD,Oil,NA,26.9211,28.564,31.8504,32.2954,29.9595,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Non-OECD,Oil,NA,68.5974,66.8791,65.6294,68.3407,71.3434,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Advanced economies,Oil,NA,27.0111,28.6521,31.9209,32.3562,30.0158,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Developing economies,Oil,NA,68.5074,66.791,65.559,68.28,71.2871,Fossil fuel production
WEO2020,Production,Fossil Fuels,mb/d,SPS,Non-OPEC,Oil,NA,58.6584,60.5034,63.0535,64.0933,61.7801,Fossil fuel production
