"Variable_class","Sub_variable_class_1","Sub_variable_class_2","Scenario","Region","Sector","Units","year","value"
"Capacity","Electricity generation","Coal","FPS","AUS","Power","GW","2020",24.37481146
"Capacity","Electricity generation","Coal","FPS","BRA","Power","GW","2020",4.710473788
"Capacity","Electricity generation","Coal","FPS","CAN","Power","GW","2020",9.715360772
"Capacity","Electricity generation","Coal","FPS","CHN","Power","GW","2020",1253.276355
"Capacity","Electricity generation","Coal","FPS","CSA","Power","GW","2020",13.56100315
"Capacity","Electricity generation","Coal","FPS","EEU","Power","GW","2020",52.31917013
"Capacity","Electricity generation","Coal","FPS","EURA","Power","GW","2020",38.28643985
"Capacity","Electricity generation","Coal","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Coal","FPS","IND","Power","GW","2020",229.7674138
"Capacity","Electricity generation","Coal","FPS","IDN","Power","GW","2020",35.78998838
"Capacity","Electricity generation","Coal","FPS","JPN","Power","GW","2020",43.40478655
"Capacity","Electricity generation","Coal","FPS","MENA","Power","GW","2020",27.44258285
"Capacity","Electricity generation","Coal","FPS","RUS","Power","GW","2020",38.3515113
"Capacity","Electricity generation","Coal","FPS","SA","Power","GW","2020",4.656097724
"Capacity","Electricity generation","Coal","FPS","ZAF","Power","GW","2020",32.30527768
"Capacity","Electricity generation","Coal","FPS","SEAO","Power","GW","2020",62.23500312
"Capacity","Electricity generation","Coal","FPS","KOR","Power","GW","2020",33.43754378
"Capacity","Electricity generation","Coal","FPS","SSA","Power","GW","2020",3.139637324
"Capacity","Electricity generation","Coal","FPS","GBR","Power","GW","2020",7.239943875
"Capacity","Electricity generation","Coal","FPS","USA","Power","GW","2020",221.3483038
"Capacity","Electricity generation","Coal","FPS","WEU","Power","GW","2020",78.86672081
"Capacity","Electricity generation","Coal","FPS","WORLD","Power","GW","2020",2214.228425
"Capacity","Electricity generation","Coal CCS","FPS","AUS","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","BRA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","CAN","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","CHN","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","CSA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","EEU","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","EURA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","GCC","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","IND","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","IDN","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","JPN","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","MENA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","RUS","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","SA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","ZAF","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","SEAO","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","KOR","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","SSA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","GBR","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","USA","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","WEU","Power","GW","2020",0
"Capacity","Electricity generation","Coal CCS","FPS","WORLD","Power","GW","2020",0
"Capacity","Electricity generation","Oil","FPS","AUS","Power","GW","2020",3.557354761
"Capacity","Electricity generation","Oil","FPS","BRA","Power","GW","2020",8.981535351
"Capacity","Electricity generation","Oil","FPS","CAN","Power","GW","2020",5.112313609
"Capacity","Electricity generation","Oil","FPS","CHN","Power","GW","2020",16.09080474
"Capacity","Electricity generation","Oil","FPS","CSA","Power","GW","2020",47.89007847
"Capacity","Electricity generation","Oil","FPS","EEU","Power","GW","2020",1.985693141
