"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","AUS","Capacity","Electricity generation","Coal","Power","GW","2020",22.1
"FPS","BRA","Capacity","Electricity generation","Coal","Power","GW","2020",3.4
"FPS","CAN","Capacity","Electricity generation","Coal","Power","GW","2020",7.3
"FPS","CHN","Capacity","Electricity generation","Coal","Power","GW","2020",1176.9
"FPS","CSA","Capacity","Electricity generation","Coal","Power","GW","2020",11.8
"FPS","EEU","Capacity","Electricity generation","Coal","Power","GW","2020",44.3
"FPS","EURA","Capacity","Electricity generation","Coal","Power","GW","2020",36.1
"FPS","GCC","Capacity","Electricity generation","Coal","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Coal","Power","GW","2020",221.3
"FPS","IDN","Capacity","Electricity generation","Coal","Power","GW","2020",38.9
"FPS","JPN","Capacity","Electricity generation","Coal","Power","GW","2020",41.2
"FPS","MENA","Capacity","Electricity generation","Coal","Power","GW","2020",25.9
"FPS","RUS","Capacity","Electricity generation","Coal","Power","GW","2020",38.1
"FPS","SA","Capacity","Electricity generation","Coal","Power","GW","2020",8.8
"FPS","SAF","Capacity","Electricity generation","Coal","Power","GW","2020",32.1
"FPS","SEAO","Capacity","Electricity generation","Coal","Power","GW","2020",63.7
"FPS","KOR","Capacity","Electricity generation","Coal","Power","GW","2020",27
"FPS","SSA","Capacity","Electricity generation","Coal","Power","GW","2020",2.1
"FPS","GBR","Capacity","Electricity generation","Coal","Power","GW","2020",2.8
"FPS","USA","Capacity","Electricity generation","Coal","Power","GW","2020",159.9
"FPS","WEU","Capacity","Electricity generation","Coal","Power","GW","2020",41.9
"FPS","WORLD","Capacity","Electricity generation","Coal","Power","GW","2020",2005.7
"FPS","AUS","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","BRA","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","CAN","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","CHN","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","CSA","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","EEU","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","EURA","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","GCC","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","IDN","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
"FPS","MENA","Capacity","Electricity generation","Coal CCS","Power","GW","2020",0
