year,model,scenario,scenario_geography,variable,unit,carbon_tax
2015,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2016,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2017,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2018,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2019,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2020,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2021,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2022,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2023,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2024,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,0
2025,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,40.45377857727269
2026,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,45.2296809801818
2027,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,50.0055833830909
2028,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,54.781485786000005
2029,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,59.55738818890911
2030,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,64.33329059181821
2031,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,69.74421602890911
2032,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,75.155141466
2033,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,80.5660669030909
2034,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,85.97699234018181
2035,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,91.3879177772727
2036,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,97.05599446909096
2037,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,102.72407116090922
2038,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,108.39214785272746
2039,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,114.06022454454572
2040,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,119.72830123636398
2041,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,129.02874275781838
2042,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,138.3291842792728
2043,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,147.6296258007272
2044,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,156.9300673221816
2045,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,166.23050884363602
2046,GCAM 5.3+ NGFS,B2DS,Global,Price|Carbon,US$2010/t CO2,182.59558162036342
