scenario,scenario_geography,technology,year,capacity_factor,units
WEO2021_SDS,Advanced Economies,CoalCap,2021,0.4726182752193448,NA
WEO2021_SDS,Advanced Economies,CoalCap,2022,0.4282218690067069,NA
WEO2021_SDS,Advanced Economies,CoalCap,2023,0.3754776693884631,NA
WEO2021_SDS,Advanced Economies,CoalCap,2024,0.3117869205090534,NA
WEO2021_SDS,Advanced Economies,CoalCap,2025,0.23334727639920314,NA
WEO2021_SDS,Advanced Economies,CoalCap,2026,0.21684321186730132,NA
WEO2021_SDS,Advanced Economies,CoalCap,2027,0.19733404838330248,NA
WEO2021_SDS,Advanced Economies,CoalCap,2028,0.17391681517942692,NA
WEO2021_SDS,Advanced Economies,CoalCap,2029,0.14528650823697853,NA
WEO2021_SDS,Advanced Economies,CoalCap,2030,0.10948431723792178,NA
WEO2021_SDS,Advanced Economies,CoalCap,2031,0.11267143630652562,NA
WEO2021_SDS,Advanced Economies,CoalCap,2032,0.11632262910507873,NA
WEO2021_SDS,Advanced Economies,CoalCap,2033,0.12054721463656742,NA
WEO2021_SDS,Advanced Economies,CoalCap,2034,0.12549177318402366,NA
WEO2021_SDS,Advanced Economies,CoalCap,2035,0.13135750070874974,NA
WEO2021_SDS,Advanced Economies,CoalCap,2036,0.13842825889467375,NA
WEO2021_SDS,Advanced Economies,CoalCap,2037,0.14711789165712763,NA
WEO2021_SDS,Advanced Economies,CoalCap,2038,0.1580542429296928,NA
WEO2021_SDS,Advanced Economies,CoalCap,2039,0.17223801881797232,NA
WEO2021_SDS,Advanced Economies,CoalCap,2040,0.19136784094920503,NA
WEO2021_SDS,Advanced Economies,HydroCap,2021,0.32545730123211303,NA
WEO2021_SDS,Advanced Economies,HydroCap,2022,0.3311006409346492,NA
WEO2021_SDS,Advanced Economies,HydroCap,2023,0.3366479873705146,NA
WEO2021_SDS,Advanced Economies,HydroCap,2024,0.3421017691540193,NA
WEO2021_SDS,Advanced Economies,HydroCap,2025,0.34746433365985124,NA
WEO2021_SDS,Advanced Economies,HydroCap,2026,0.34798740951851886,NA
WEO2021_SDS,Advanced Economies,HydroCap,2027,0.34850176412358597,NA
WEO2021_SDS,Advanced Economies,HydroCap,2028,0.34900761378620987,NA
WEO2021_SDS,Advanced Economies,HydroCap,2029,0.34950516772272,NA
WEO2021_SDS,Advanced Economies,HydroCap,2030,0.34999462834313305,NA
WEO2021_SDS,Advanced Economies,HydroCap,2031,0.3506050541166793,NA
WEO2021_SDS,Advanced Economies,HydroCap,2032,0.35120928866526024,NA
WEO2021_SDS,Advanced Economies,HydroCap,2033,0.35180742570508705,NA
WEO2021_SDS,Advanced Economies,HydroCap,2034,0.3523995570704311,NA
WEO2021_SDS,Advanced Economies,HydroCap,2035,0.35298577276062687,NA
WEO2021_SDS,Advanced Economies,HydroCap,2036,0.3535661609856747,NA
WEO2021_SDS,Advanced Economies,HydroCap,2037,0.3541408082104889,NA
WEO2021_SDS,Advanced Economies,HydroCap,2038,0.35470979919783985,NA
WEO2021_SDS,Advanced Economies,HydroCap,2039,0.35527321705003495,NA
WEO2021_SDS,Advanced Economies,HydroCap,2040,0.35583114324937926,NA
WEO2021_SDS,Advanced Economies,GasCap,2021,0.39777548215287617,NA
WEO2021_SDS,Advanced Economies,GasCap,2022,0.4058479838835693,NA
WEO2021_SDS,Advanced Economies,GasCap,2023,0.41391856637822294,NA
WEO2021_SDS,Advanced Economies,GasCap,2024,0.4219872303212029,NA
WEO2021_SDS,Advanced Economies,GasCap,2025,0.4300539763965496,NA
WEO2021_SDS,Advanced Economies,GasCap,2026,0.41273579306768954,NA
WEO2021_SDS,Advanced Economies,GasCap,2027,0.3953784188962645,NA
WEO2021_SDS,Advanced Economies,GasCap,2028,0.3779817206989637,NA
WEO2021_SDS,Advanced Economies,GasCap,2029,0.36054556468832444,NA
WEO2021_SDS,Advanced Economies,GasCap,2030,0.34306981646930296,NA
WEO2021_SDS,Advanced Economies,GasCap,2031,0.32434120616879575,NA
WEO2021_SDS,Advanced Economies,GasCap,2032,0.30569611530973745,NA
WEO2021_SDS,Advanced Economies,GasCap,2033,0.2871339864579572,NA
WEO2021_SDS,Advanced Economies,GasCap,2034,0.2686542671289195,NA
WEO2021_SDS,Advanced Economies,GasCap,2035,0.2502564097329088,NA
WEO2021_SDS,Advanced Economies,GasCap,2036,0.23193987152094203,NA
WEO2021_SDS,Advanced Economies,GasCap,2037,0.21370411453139518,NA
WEO2021_SDS,Advanced Economies,GasCap,2038,0.1955486055373359,NA
WEO2021_SDS,Advanced Economies,GasCap,2039,0.17747281599454928,NA
WEO2021_SDS,Advanced Economies,GasCap,2040,0.1594762219902466,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2021,0.7693927944123975,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2022,0.7709978350549307,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2023,0.7726423297050016,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2024,0.7743277512118999,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2025,0.7760556466588223,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2026,0.7827133213033428,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2027,0.789373262859064,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2028,0.7960354724839944,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2029,0.802699951336931,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2030,0.8093667005774605,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2031,0.8092150410196867,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2032,0.809063891064922,NA
WEO2021_SDS,Advanced Economies,NuclearCap,2033,0.8089132481489401,NA
