scenario;year;region;technology;levelized_cost
baseline;2020;Africa;Avg BF-BOF;460.6
baseline;2020;Africa;BAT BF-BOF;484.7
baseline;2020;Africa;BAT BF-BOF+BECCUS;902.7
baseline;2020;Africa;BAT BF-BOF+CCU;1162.3
baseline;2020;Africa;BAT BF-BOF+CCUS;799.3
baseline;2020;Africa;BAT BF-BOF_H2 PCI;535.9
baseline;2020;Africa;BAT BF-BOF_bio PCI;562
baseline;2020;Africa;DRI-EAF;500.8
baseline;2020;Africa;DRI-EAF+CCUS;679.2
baseline;2020;Africa;DRI-EAF_100% green H2;735.3
baseline;2020;Africa;DRI-EAF_50% bio-CH4;577.3
baseline;2020;Africa;DRI-EAF_50% green H2;550.3
baseline;2020;Africa;DRI-Melt-BOF;441.6
baseline;2020;Africa;DRI-Melt-BOF+CCUS;588.5
baseline;2020;Africa;DRI-Melt-BOF_100% zero-C H2;717.2
baseline;2020;Africa;EAF;416.9
baseline;2020;Africa;Electrolyzer-EAF;697.3
baseline;2020;Africa;Electrowinning-EAF;674.4
baseline;2020;Africa;Smelting Reduction;464.2
baseline;2020;Africa;Smelting Reduction+CCUS;598.1
baseline;2020;CIS;Avg BF-BOF;463.3
baseline;2020;CIS;BAT BF-BOF;487
baseline;2020;CIS;BAT BF-BOF+BECCUS;801.2
baseline;2020;CIS;BAT BF-BOF+CCU;1069.3
baseline;2020;CIS;BAT BF-BOF+CCUS;717.1
baseline;2020;CIS;BAT BF-BOF_H2 PCI;529.8
baseline;2020;CIS;BAT BF-BOF_bio PCI;547.6
baseline;2020;CIS;DRI-EAF;453.2
baseline;2020;CIS;DRI-EAF+CCUS;586
baseline;2020;CIS;DRI-EAF_100% green H2;684.5
baseline;2020;CIS;DRI-EAF_50% bio-CH4;529.8
baseline;2020;CIS;DRI-EAF_50% green H2;502.3
baseline;2020;CIS;DRI-Melt-BOF;403.5
baseline;2020;CIS;DRI-Melt-BOF+CCUS;507.4
baseline;2020;CIS;DRI-Melt-BOF_100% zero-C H2;666.1
baseline;2020;CIS;EAF;404.5
baseline;2020;CIS;Electrolyzer-EAF;650.2
baseline;2020;CIS;Electrowinning-EAF;631.9
baseline;2020;CIS;Smelting Reduction;456.2
baseline;2020;CIS;Smelting Reduction+CCUS;535.5
baseline;2020;China;Avg BF-BOF;463.5
baseline;2020;China;BAT BF-BOF;486.7
baseline;2020;China;BAT BF-BOF+BECCUS;817.8
baseline;2020;China;BAT BF-BOF+CCU;916.9
baseline;2020;China;BAT BF-BOF+CCUS;732.8
baseline;2020;China;BAT BF-BOF_H2 PCI;510.6
baseline;2020;China;BAT BF-BOF_bio PCI;547.4
baseline;2020;China;DRI-EAF;512.3
baseline;2020;China;DRI-EAF+CCUS;654.3
baseline;2020;China;DRI-EAF_100% green H2;635.4
baseline;2020;China;DRI-EAF_50% bio-CH4;565.1
baseline;2020;China;DRI-EAF_50% green H2;530.4
baseline;2020;China;DRI-Melt-BOF;452.9
baseline;2020;China;DRI-Melt-BOF+CCUS;564.4
baseline;2020;China;DRI-Melt-BOF_100% zero-C H2;617.3
baseline;2020;China;EAF;416.4
baseline;2020;China;Electrolyzer-EAF;686.5
baseline;2020;China;Electrowinning-EAF;664.6
