"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2020",70
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2020",2.2
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2020",3.5
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2020",4.1
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2020",70
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2020",2.2
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2020",3.5
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2020",4.1
"FPS","USA","Price","Coal","USD / tonne","2020",42.8
"FPS","Europe","Price","Coal","USD / tonne","2020",50.3
"FPS","CHN","Price","Coal","USD / tonne","2020",83.1
"FPS","JPN","Price","Coal","USD / tonne","2020",69.8
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2020",70
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2020",2.2
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2020",3.5
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2020",4.1
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2020",70
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2020",2.2
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2020",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2020",4.1
"RPS","USA","Price","Coal","USD / tonne","2020",42.8
"RPS","Europe","Price","Coal","USD / tonne","2020",50.3
"RPS","CHN","Price","Coal","USD / tonne","2020",83.1
"RPS","JPN","Price","Coal","USD / tonne","2020",69.8
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2021",68
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2021",2.28
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2021",3.6
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2021",4.24
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2021",67
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2021",2.23
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2021",3.55
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2021",4.19
"FPS","USA","Price","Coal","USD / tonne","2021",41.88
"FPS","Europe","Price","Coal","USD / tonne","2021",51.36
"FPS","CHN","Price","Coal","USD / tonne","2021",82.48
"FPS","JPN","Price","Coal","USD / tonne","2021",70.04
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2021",66.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2021",2.28
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2021",3.55
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2021",4.19
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2021",65.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2021",2.23
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2021",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2021",4.14
"RPS","USA","Price","Coal","USD / tonne","2021",41.01
"RPS","Europe","Price","Coal","USD / tonne","2021",51.31
"RPS","CHN","Price","Coal","USD / tonne","2021",81.82
"RPS","JPN","Price","Coal","USD / tonne","2021",69.23
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2022",66
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2022",2.36
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2022",3.7
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2022",4.38
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2022",64
