"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2020",40
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2020",2
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2020",4.2
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2020",7.1
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2020",40
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2020",2
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2020",4.2
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2020",7.1
"FPS","USA","Price","Coal","","","USD / tonne","2020",43
"FPS","Europe","Price","Coal","","","USD / tonne","2020",50
"FPS","CHN","Price","Coal","","","USD / tonne","2020",89
"FPS","JPN","Price","Coal","","","USD / tonne","2020",69
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2021",70
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2021",3.9
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2021",9.5
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2021",10.2
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2021",70
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2021",3.9
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2021",9.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2021",10.2
"FPS","USA","Price","Coal","","","USD / tonne","2021",44
"FPS","Europe","Price","Coal","","","USD / tonne","2021",120
"FPS","CHN","Price","Coal","","","USD / tonne","2021",164
"FPS","JPN","Price","Coal","","","USD / tonne","2021",153
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2022",66.9
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2022",3.6
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2022",8.1
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2022",8.8
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2022",65.6
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2022",3.5
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2022",8
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2022",8.7
"FPS","USA","Price","Coal","","","USD / tonne","2022",42.7
"FPS","Europe","Price","Coal","","","USD / tonne","2022",103.9
"FPS","CHN","Price","Coal","","","USD / tonne","2022",142.5
"FPS","JPN","Price","Coal","","","USD / tonne","2022",132.7
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2023",63.8
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2023",3.3
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2023",6.7
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2023",7.4
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2023",61.2
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2023",3.1
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2023",6.6
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2023",7.3
"FPS","USA","Price","Coal","","","USD / tonne","2023",41.3
"FPS","Europe","Price","Coal","","","USD / tonne","2023",87.8
"FPS","CHN","Price","Coal","","","USD / tonne","2023",121
"FPS","JPN","Price","Coal","","","USD / tonne","2023",112.4
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2024",60.6
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2024",2.9
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2024",5.3
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2024",6
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2024",56.9
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2024",2.8
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2024",5.1
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2024",5.8
"FPS","USA","Price","Coal","","","USD / tonne","2024",40
"FPS","Europe","Price","Coal","","","USD / tonne","2024",71.7
"FPS","CHN","Price","Coal","","","USD / tonne","2024",99.4
"FPS","JPN","Price","Coal","","","USD / tonne","2024",92
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2025",57.5
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2025",2.6
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2025",3.9
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2025",4.6
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2025",52.5
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2025",2.4
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2025",3.6
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2025",4.4
"FPS","USA","Price","Coal","","","USD / tonne","2025",38.6
"FPS","Europe","Price","Coal","","","USD / tonne","2025",55.6
"FPS","CHN","Price","Coal","","","USD / tonne","2025",77.9
"FPS","JPN","Price","Coal","","","USD / tonne","2025",71.7
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2026",57
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2026",2.6
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2026",3.9
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2026",4.7
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2026",51
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2026",2.4
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2026",3.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2026",4.3
"FPS","USA","Price","Coal","","","USD / tonne","2026",37
"FPS","Europe","Price","Coal","","","USD / tonne","2026",56
"FPS","CHN","Price","Coal","","","USD / tonne","2026",77.6
"FPS","JPN","Price","Coal","","","USD / tonne","2026",71.1
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2027",56.5
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2027",2.7
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2027",3.8
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2027",4.7
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2027",49.5
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2027",2.3
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2027",3.5
