source,scenario,region,technology,indicator,unit,2022,2030,2050
WEO2023,STEPS,United States,Nuclear,Capacity factor,%,90,90,90
WEO2023,STEPS,United States,Coal,Capacity factor,%,35,15,n.a.
WEO2023,STEPS,United States,Gas CCGT,Capacity factor,%,55,40,15
WEO2023,STEPS,United States,Solar PV,Capacity factor,%,21,22,23
WEO2023,STEPS,United States,Wind onshore,Capacity factor,%,42,43,44
WEO2023,STEPS,United States,Wind offshore,Capacity factor,%,42,46,49
WEO2023,STEPS,European Union,Nuclear,Capacity factor,%,70,75,80
WEO2023,STEPS,European Union,Coal,Capacity factor,%,30,n.a.,n.a.
WEO2023,STEPS,European Union,Gas CCGT,Capacity factor,%,20,10,n.a.
WEO2023,STEPS,European Union,Solar PV,Capacity factor,%,14,14,14
WEO2023,STEPS,European Union,Wind onshore,Capacity factor,%,29,30,30
WEO2023,STEPS,European Union,Wind offshore,Capacity factor,%,50,56,59
WEO2023,STEPS,China,Nuclear,Capacity factor,%,80,75,70
WEO2023,STEPS,China,Coal,Capacity factor,%,50,30,20
WEO2023,STEPS,China,Gas CCGT,Capacity factor,%,30,20,15
WEO2023,STEPS,China,Solar PV,Capacity factor,%,13,13,14
WEO2023,STEPS,China,Wind onshore,Capacity factor,%,26,27,28
WEO2023,STEPS,China,Wind offshore,Capacity factor,%,32,39,43
WEO2023,STEPS,India,Nuclear,Capacity factor,%,80,85,90
WEO2023,STEPS,India,Coal,Capacity factor,%,65,70,70
WEO2023,STEPS,India,Gas CCGT,Capacity factor,%,25,40,45
WEO2023,STEPS,India,Solar PV,Capacity factor,%,20,21,22
WEO2023,STEPS,India,Wind onshore,Capacity factor,%,26,28,30
WEO2023,STEPS,India,Wind offshore,Capacity factor,%,33,37,39
WEO2023,APS,United States,Nuclear,Capacity factor,%,90,90,90
WEO2023,APS,United States,Coal,Capacity factor,%,30,n.a.,n.a.
WEO2023,APS,United States,Gas CCGT,Capacity factor,%,50,25,n.a.
WEO2023,APS,United States,Solar PV,Capacity factor,%,21,22,23
WEO2023,APS,United States,Wind onshore,Capacity factor,%,42,43,44
WEO2023,APS,United States,Wind offshore,Capacity factor,%,42,46,49
WEO2023,APS,European Union,Nuclear,Capacity factor,%,70,80,80
WEO2023,APS,European Union,Coal,Capacity factor,%,30,n.a.,n.a.
WEO2023,APS,European Union,Gas CCGT,Capacity factor,%,25,10,n.a.
WEO2023,APS,European Union,Solar PV,Capacity factor,%,14,14,14
WEO2023,APS,European Union,Wind onshore,Capacity factor,%,29,30,30
WEO2023,APS,European Union,Wind offshore,Capacity factor,%,50,56,59
WEO2023,APS,China,Nuclear,Capacity factor,%,75,70,70
WEO2023,APS,China,Coal,Capacity factor,%,50,25,15
WEO2023,APS,China,Gas CCGT,Capacity factor,%,35,30,20
WEO2023,APS,China,Solar PV,Capacity factor,%,13,13,14
WEO2023,APS,China,Wind onshore,Capacity factor,%,26,27,28
WEO2023,APS,China,Wind offshore,Capacity factor,%,32,39,43
WEO2023,APS,India,Nuclear,Capacity factor,%,75,85,90
WEO2023,APS,India,Coal,Capacity factor,%,65,70,50
WEO2023,APS,India,Gas CCGT,Capacity factor,%,25,35,25
WEO2023,APS,India,Solar PV,Capacity factor,%,20,21,22
WEO2023,APS,India,Wind onshore,Capacity factor,%,26,28,30
