"Model","Scenario","Region","Variable","Unit","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 5.3+ NGFS","DN0","World","Price|Carbon","US$2010/t CO2",0,0,244.704869857186,263.14165810122,319.538115628127,416.537577605484,666.088792833706,1191.65976264194,1338.75225524608,1773.91131183781,1872.73567493071,2009.59984573242,2195.74559769254,2466.1402983145,2529.02408239369,2481.99583951307,2350.70233173843,2317.00444586955
"GCAM 5.3+ NGFS","NDC","World","Price|Carbon","US$2010/t CO2",0,0,47.7891644334222,52.9131572020092,59.4910080413894,79.5666856813851,92.0688692185652,103.461394047604,107.590313652422,120.74712039209,124.617485262078,139.641254231405,152.404608584369,157.2039726787,163.53070805482,169.395981018579,174.330122535067,192.988616362991
"GCAM 5.3+ NGFS","NZ2050","World","Price|Carbon","US$2010/t CO2",0,0,69.6583976349853,103.967953608909,142.701254760353,182.993150782201,316.36497996835,627.08160284746,721.081523358475,910.323636940301,939.145203515283,1004.04869941943,1106.0740573671,1247.8014070209,1283.16396630128,1303.21920601909,1319.13023496584,1471.91384922912
"GCAM 5.3+ NGFS","B2DS","World","Price|Carbon","US$2010/t CO2",0,0,40.4537785772727,64.3332905918182,91.3879177772727,119.728301236364,166.230508843636,248.055872727273,347.278221818182,486.189510545455,680.665314763637,748.73184624,823.603377158182,905.966195432727,933.144850554546,961.137955791818,989.974450996364,1019.67087322636
"GCAM 5.3+ NGFS","Delayed transition","Indonesia","Price|Carbon","US$2010/t CO2",0,0,0,0,106.754565666273,162.504296208818,206.252256775909,361.171831249636,470.768703790909,638.72320095,712.246961626364,769.208858533636,840.309940186364,926.352253906364,937.866180665455,944.067577483636,961.74569268,1099.63995232909
"GCAM 5.3+ NGFS","DN0_Indonesia","Indonesia","Price|Carbon","US$2010/t CO2",0,0,232.516651378721,262.3574086354,336.75435006189,436.653710120477,643.975747916749,980.78553847419,1269.26760108463,1750.31543287812,1857.47891605785,1991.66106411558,2176.19543677158,2446.23931202158,2515.93946864535,2475.02972007878,2350.49674129432,2329.38816404019
"GCAM 5.3+ NGFS","Current Policies","Indonesia","Price|Carbon","US$2010/t CO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCAM 5.3+ NGFS","NDC_Indonesia_moderate","Indonesia","Price|Carbon","US$2010/t CO2",0,0,0.413426454545455,0.413426454545455,0.413426454545455,6.54656656508182,11.8364407362818,24.2987264394546,10.4499737783182,43.8347801225455,52.4452128913636,56.1433125272727,62.880923457,66.6104435034545,75.4445399841818,86.2800339313636,80.1737251977273,69.6867497517273
"GCAM 5.3+ NGFS","NZ2050_Indonesia","Indonesia","Price|Carbon","US$2010/t CO2",0,0,62.9875874822727,95.4824933830909,141.988008402,175.758334915091,286.254409995,563.376229609091,693.390581034546,901.960093088182,935.695691779091,1001.53798893,1103.02591499182,1243.55783542091,1276.77251677909,1295.99684691545,1311.22334323636,1467.51508011273
"GCAM 5.3+ NGFS","B2DS_Indonesia","Indonesia","Price|Carbon","US$2010/t CO2",0,0,40.4537785772727,64.3332905918182,91.3879177772727,119.728301236364,166.230508843636,248.055872727273,347.278221818182,486.189510545455,680.665314763637,748.73184624,823.603377158182,905.966195432727,933.144850554546,961.137955791818,989.974450996364,1019.67087322636
"GCAM 5.3+ NGFS","NDC_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0,0,0.413426454545455,0.413426454545455,0.413426454545455,6.54656656508182,11.8364407362818,24.2987264394546,10.4499737783182,43.8347801225455,52.4452128913636,56.1433125272727,62.880923457,66.6104435034545,75.4445399841818,86.2800339313636,80.1737251977273,69.6867497517273
"GCAM 5.3+ NGFS","NZ2050_Indonesia_market_assumption","Indonesia","Price|Carbon","US$2010/t CO2",0,0,62.9875874822727,95.4824933830909,141.988008402,175.758334915091,286.254409995,563.376229609091,693.390581034546,901.960093088182,935.695691779091,1001.53798893,1103.02591499182,1243.55783542091,1276.77251677909,1295.99684691545,1311.22334323636,1467.51508011273
