Source,Scenario,ScenarioGeography,Sector,Technology,Sub_Technology,Indicator,Units,Year,AnnualvalIEAtech,refvalIEAtech,refvalIEAsec,techFSRatio,mktFSRatio,Direction,FairSharePerc
GECO2021,1.5C-Unif,Algeria&Libya,Power,CoalCap,NA,Capacity,MW,2025,10.8153963088989,10.8153963088989,126005.04844284055,0,0,declining,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,GasCap,NA,Capacity,MW,2025,25711.03515625,25711.03515625,126005.04844284055,0,0,declining,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,HydroCap,NA,Capacity,MW,2025,340.672943115234,340.672943115234,126005.04844284055,0,0,increasing,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,HydroCap,NA,Capacity,MW,2025,340.672943115234,340.672943115234,126005.04844284055,0,0,increasing,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,NuclearCap,NA,Capacity,MW,2025,20.117223739624,20.117223739624,126005.04844284055,0,0,increasing,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,OilCap,NA,Capacity,MW,2025,4104.0556640625,4104.0556640625,126005.04844284055,0,0,declining,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,RenewablesCap,NA,Capacity,MW,2025,1229.39749145507,1229.39749145507,126005.04844284055,0,0,increasing,0
GECO2021,1.5C-Unif,Algeria&Libya,Power,CoalCap,NA,Capacity,MW,2030,32.486658786539884,10.8153963088989,126005.04844284055,2.003741874887182,6.824140064953262e-4,declining,2.003741874887182
GECO2021,1.5C-Unif,Algeria&Libya,Power,GasCap,NA,Capacity,MW,2030,23378.496204861116,25711.03515625,126005.04844284055,-0.09072131624470499,-0.07345013945384898,declining,-0.09072131624470499
GECO2021,1.5C-Unif,Algeria&Libya,Power,HydroCap,NA,Capacity,MW,2030,782.0192260742181,340.672943115234,126005.04844284055,1.2955131655691745,0.01389770833686313,increasing,0.01389770833686313
GECO2021,1.5C-Unif,Algeria&Libya,Power,NuclearCap,NA,Capacity,MW,2030,1002.41436767578,20.117223739624,126005.04844284055,48.828663271332466,0.030931900264416765,increasing,0.030931900264416765
GECO2021,1.5C-Unif,Algeria&Libya,Power,OilCap,NA,Capacity,MW,2030,3808.67431640625,4104.0556640625,126005.04844284055,-0.07197303639002292,-0.009301367149517006,declining,-0.07197303639002292
GECO2021,1.5C-Unif,Algeria&Libya,Power,RenewablesCap,NA,Capacity,MW,2030,18899.323600160482,1229.39749145507,126005.04844284055,14.372834035794178,0.5564145182016464,increasing,0.5564145182016464
GECO2021,1.5C-Unif,Algeria&Libya,Power,CoalCap,NA,Capacity,MW,2040,89.69010901451111,10.8153963088989,126005.04844284055,7.2928176141556795,0.0024837135706393676,declining,7.2928176141556795
GECO2021,1.5C-Unif,Algeria&Libya,Power,GasCap,NA,Capacity,MW,2040,22206.273681640625,25711.03515625,126005.04844284055,-0.1363135110395357,-0.11036266678816019,declining,-0.1363135110395357
GECO2021,1.5C-Unif,Algeria&Libya,Power,HydroCap,NA,Capacity,MW,2040,1029.8433837890618,340.672943115234,126005.04844284055,2.0229679362611233,0.021701530405236022,increasing,0.021701530405236022
GECO2021,1.5C-Unif,Algeria&Libya,Power,NuclearCap,NA,Capacity,MW,2040,4591.54052734375,20.117223739624,126005.04844284055,227.23927330986518,0.143951156293603,increasing,0.143951156293603
GECO2021,1.5C-Unif,Algeria&Libya,Power,OilCap,NA,Capacity,MW,2040,4816.42236328125,4104.0556640625,126005.04844284055,0.1735762761350065,0.02243196554927406,declining,0.1735762761350065
GECO2021,1.5C-Unif,Algeria&Libya,Power,RenewablesCap,NA,Capacity,MW,2040,84295.67097473145,1229.39749145507,126005.04844284055,67.56665282028693,2.615703102246288,increasing,2.615703102246288
GECO2021,1.5C-Unif,Algeria&Libya,Power,CoalCap,NA,Capacity,MW,2050,274.292176246643,10.8153963088989,126005.04844284055,24.36126910309848,0.008296712994977088,declining,24.36126910309848
GECO2021,1.5C-Unif,Algeria&Libya,Power,GasCap,NA,Capacity,MW,2050,21143.69567871094,25711.03515625,126005.04844284055,-0.17764121319046935,-0.1438225592582541,declining,-0.17764121319046935
GECO2021,1.5C-Unif,Algeria&Libya,Power,HydroCap,NA,Capacity,MW,2050,1307.740112304688,340.672943115234,126005.04844284055,2.8386967287341625,0.030452318232846498,increasing,0.030452318232846498
GECO2021,1.5C-Unif,Algeria&Libya,Power,NuclearCap,NA,Capacity,MW,2050,6136.572265625,20.117223739624,126005.04844284055,304.0407126276608,0.19260320412749166,increasing,0.19260320412749166
GECO2021,1.5C-Unif,Algeria&Libya,Power,OilCap,NA,Capacity,MW,2050,4289.42919921875,4104.0556640625,126005.04844284055,0.045168377412491884,0.005837292449145262,declining,0.045168377412491884
GECO2021,1.5C-Unif,Algeria&Libya,Power,RenewablesCap,NA,Capacity,MW,2050,156170.55947875977,1229.39749145507,126005.04844284055,126.03015954093252,4.878996746584907,increasing,4.878996746584907
GECO2021,1.5C-Unif,Argentina,Power,CoalCap,NA,Capacity,MW,2025,572.580444335937,572.580444335937,215224.05517578122,0,0,declining,0
GECO2021,1.5C-Unif,Argentina,Power,GasCap,NA,Capacity,MW,2025,22104.064453125,22104.064453125,215224.05517578122,0,0,declining,0
GECO2021,1.5C-Unif,Argentina,Power,HydroCap,NA,Capacity,MW,2025,12912.029296875,12912.029296875,215224.05517578122,0,0,increasing,0
GECO2021,1.5C-Unif,Argentina,Power,HydroCap,NA,Capacity,MW,2025,12912.029296875,12912.029296875,215224.05517578122,0,0,increasing,0
GECO2021,1.5C-Unif,Argentina,Power,NuclearCap,NA,Capacity,MW,2025,1352.72619628906,1352.72619628906,215224.05517578122,0,0,increasing,0
GECO2021,1.5C-Unif,Argentina,Power,OilCap,NA,Capacity,MW,2025,1936.52795410156,1936.52795410156,215224.05517578122,0,0,declining,0
GECO2021,1.5C-Unif,Argentina,Power,RenewablesCap,NA,Capacity,MW,2025,11700.078125,11700.078125,215224.05517578122,0,0,increasing,0
GECO2021,1.5C-Unif,Argentina,Power,CoalCap,NA,Capacity,MW,2030,476.7794100987963,572.580444335937,215224.05517578122,-0.16731454101309406,-0.0015089144789478311,declining,-0.16731454101309406
GECO2021,1.5C-Unif,Argentina,Power,GasCap,NA,Capacity,MW,2030,19800.117298611112,22104.064453125,215224.05517578122,-0.10423183299160907,-0.03628832661212425,declining,-0.10423183299160907
GECO2021,1.5C-Unif,Argentina,Power,HydroCap,NA,Capacity,MW,2030,27429.939453125,12912.029296875,215224.05517578122,1.1243709119962777,0.22866438774140738,increasing,0.22866438774140738
GECO2021,1.5C-Unif,Argentina,Power,NuclearCap,NA,Capacity,MW,2030,2104.642578125,1352.72619628906,215224.05517578122,0.5558526063135878,0.011843061241926089,increasing,0.011843061241926089
GECO2021,1.5C-Unif,Argentina,Power,OilCap,NA,Capacity,MW,2030,1701.390625,1936.52795410156,215224.05517578122,-0.12142211972904388,-0.0037035312118260323,declining,-0.12142211972904388
GECO2021,1.5C-Unif,Argentina,Power,RenewablesCap,NA,Capacity,MW,2030,29155.482661592363,11700.078125,215224.05517578122,1.4919049556852735,0.2749314018464397,increasing,0.2749314018464397
GECO2021,1.5C-Unif,Argentina,Power,CoalCap,NA,Capacity,MW,2040,237.2762999534605,572.580444335937,215224.05517578122,-0.5856018096659816,-0.005281208938282891,declining,-0.5856018096659816
GECO2021,1.5C-Unif,Argentina,Power,GasCap,NA,Capacity,MW,2040,13461.976989746094,22104.064453125,215224.05517578122,-0.39097277705219124,-0.13611722467992388,declining,-0.39097277705219124
GECO2021,1.5C-Unif,Argentina,Power,HydroCap,NA,Capacity,MW,2040,31571.720703125,12912.029296875,215224.05517578122,1.4451401075093644,0.2938995258223777,increasing,0.2938995258223777
GECO2021,1.5C-Unif,Argentina,Power,NuclearCap,NA,Capacity,MW,2040,10149.8544921875,1352.72619628906,215224.05517578122,6.503258619542995,0.13855919578054643,increasing,0.13855919578054643
GECO2021,1.5C-Unif,Argentina,Power,OilCap,NA,Capacity,MW,2040,1952.31579589844,1936.52795410156,215224.05517578122,0.00815265370347038,2.486664498807083e-4,declining,0.00815265370347038
GECO2021,1.5C-Unif,Argentina,Power,RenewablesCap,NA,Capacity,MW,2040,94426.56297302248,11700.078125,215224.05517578122,7.070592517776241,1.3029837493262226,increasing,1.3029837493262226
GECO2021,1.5C-Unif,Argentina,Power,CoalCap,NA,Capacity,MW,2050,584.4872589111329,572.580444335937,215224.05517578122,0.020795007396742435,1.8753831890986852e-4,declining,0.020795007396742435
GECO2021,1.5C-Unif,Argentina,Power,GasCap,NA,Capacity,MW,2050,13375.906982421871,22104.064453125,215224.05517578122,-0.3948666313931767,-0.1374728705901046,declining,-0.3948666313931767
GECO2021,1.5C-Unif,Argentina,Power,HydroCap,NA,Capacity,MW,2050,44092.953125,12912.029296875,215224.05517578122,2.414873999369834,0.49111523488111636,increasing,0.49111523488111636
GECO2021,1.5C-Unif,Argentina,Power,NuclearCap,NA,Capacity,MW,2050,14168.390625,1352.72619628906,215224.05517578122,9.473953017150263,0.20185316127121353,increasing,0.20185316127121353
GECO2021,1.5C-Unif,Argentina,Power,OilCap,NA,Capacity,MW,2050,1427.59692382812,1936.52795410156,215224.05517578122,-0.2628059301677137,-0.0080159197286381,declining,-0.2628059301677137
GECO2021,1.5C-Unif,Argentina,Power,RenewablesCap,NA,Capacity,MW,2050,180168.9412536621,11700.078125,215224.05517578122,14.398951983806699,2.653469337266996,increasing,2.653469337266996
GECO2021,1.5C-Unif,Australia,Power,CoalCap,NA,Capacity,MW,2025,14031.5732421875,14031.5732421875,407078.44832911715,0,0,declining,0
GECO2021,1.5C-Unif,Australia,Power,GasCap,NA,Capacity,MW,2025,21453.453125,21453.453125,407078.44832911715,0,0,declining,0
GECO2021,1.5C-Unif,Australia,Power,HydroCap,NA,Capacity,MW,2025,10860.4189453125,10860.4189453125,407078.44832911715,0,0,increasing,0
GECO2021,1.5C-Unif,Australia,Power,HydroCap,NA,Capacity,MW,2025,10860.4189453125,10860.4189453125,407078.44832911715,0,0,increasing,0
GECO2021,1.5C-Unif,Australia,Power,NuclearCap,NA,Capacity,MW,2025,2.6587303727865e-4,2.6587303727865e-4,407078.44832911715,0,0,increasing,0
GECO2021,1.5C-Unif,Australia,Power,OilCap,NA,Capacity,MW,2025,2546.20727539062,2546.20727539062,407078.44832911715,0,0,declining,0
GECO2021,1.5C-Unif,Australia,Power,RenewablesCap,NA,Capacity,MW,2025,50162.8544921875,50162.8544921875,407078.44832911715,0,0,increasing,0
GECO2021,1.5C-Unif,Australia,Power,CoalCap,NA,Capacity,MW,2030,7621.925039981608,14031.5732421875,407078.44832911715,-0.45680182054957064,-0.058314629491002516,declining,-0.45680182054957064
GECO2021,1.5C-Unif,Australia,Power,GasCap,NA,Capacity,MW,2030,22807.058704861112,21453.453125,407078.44832911715,0.06309499789960328,0.012315029682812976,declining,0.06309499789960328
GECO2021,1.5C-Unif,Australia,Power,HydroCap,NA,Capacity,MW,2030,22617.32421875,10860.4189453125,407078.44832911715,1.0825462012689608,0.10696368246004065,increasing,0.10696368246004065
GECO2021,1.5C-Unif,Australia,Power,NuclearCap,NA,Capacity,MW,2030,2.64472735580057e-4,2.6587303727865e-4,407078.44832911715,-0.00526680596470342,-1.273986842225912e-11,increasing,-1.273986842225912e-11
GECO2021,1.5C-Unif,Australia,Power,OilCap,NA,Capacity,MW,2030,2834.58764648437,2546.20727539062,407078.44832911715,0.11325879628142561,0.00262366887577735,declining,0.11325879628142561
GECO2021,1.5C-Unif,Australia,Power,RenewablesCap,NA,Capacity,MW,2030,104340.04013637741,50162.8544921875,407078.44832911715,1.0800259712618152,0.49290107788114,increasing,0.49290107788114
GECO2021,1.5C-Unif,Australia,Power,CoalCap,NA,Capacity,MW,2040,363.221324920654,14031.5732421875,407078.44832911715,-0.9741139985765396,-0.124353919694647,declining,-0.9741139985765396
GECO2021,1.5C-Unif,Australia,Power,GasCap,NA,Capacity,MW,2040,23244.925842285156,21453.453125,407078.44832911715,0.08350509854273896,0.01629872099934754,declining,0.08350509854273896
GECO2021,1.5C-Unif,Australia,Power,HydroCap,NA,Capacity,MW,2040,28021.078125,10860.4189453125,407078.44832911715,1.5801102394023452,0.15612674055035486,increasing,0.15612674055035486
