"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2020",2899.69296445335
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2025",27357.4915539847
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2030",252028.7835145
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2035",230121.732250452
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2040",273051.361800921
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2045",322101.671789989
"GECO2023","1.5C","World","Automotive","Electric","Sales","k*veh","2050",325975.241757537
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2020",961.337741754636
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2025",1284.2624671856
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2030",11631.5362688704
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2035",21246.768657887
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2040",36141.2014565345
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2045",72811.4411605023
"GECO2023","1.5C","World","Automotive","FuelCell","Sales","k*veh","2050",99897.914057622
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2020",1592.23057077824
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2025",12646.9082178179
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2030",74686.2864195283
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2035",51101.4685388505
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2040",62927.1157851043
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2045",75834.5792816323
"GECO2023","1.5C","World","Automotive","Hybrid","Sales","k*veh","2050",82419.2208025379
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2020",119423.971258571
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2025",248281.638391521
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2030",185407.9146185
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2035",29668.99971042
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2040",33691.6140285945
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2045",64041.9524309592
"GECO2023","1.5C","World","Automotive","ICE","Sales","k*veh","2050",73968.2444347692
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2020",2899.69296445335
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2025",27278.8752327526
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2030",104169.347905546
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2035",222470.208868921
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2040",243944.662892139
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2045",284691.438982973
"GECO2023","CurPol","World","Automotive","Electric","Sales","k*veh","2050",311637.570871051
"GECO2023","CurPol","World","Automotive","FuelCell","Sales","k*veh","2020",961.337741754636
"GECO2023","CurPol","World","Automotive","FuelCell","Sales","k*veh","2025",1529.07563622184
"GECO2023","CurPol","World","Automotive","FuelCell","Sales","k*veh","2030",5137.08934728765
"GECO2023","CurPol","World","Automotive","FuelCell","Sales","k*veh","2035",19187.0496119507
