scenario,technology,year,Production (Mt)
Baseline,Avg BF-BOF,2020,996.0865517
Baseline,Avg BF-BOF,2021,950.1619039
Baseline,Avg BF-BOF,2022,959.4380972
Baseline,Avg BF-BOF,2023,967.1878342
Baseline,Avg BF-BOF,2024,945.5560929
Baseline,Avg BF-BOF,2025,872.1704306
Baseline,Avg BF-BOF,2026,795.1973939
Baseline,Avg BF-BOF,2027,704.5932724
Baseline,Avg BF-BOF,2028,627.961518
Baseline,Avg BF-BOF,2029,529.9250239
Baseline,Avg BF-BOF,2030,456.0247372
Baseline,Avg BF-BOF,2031,390.5474441
Baseline,Avg BF-BOF,2032,336.1208222
Baseline,Avg BF-BOF,2033,284.196
Baseline,Avg BF-BOF,2034,258.4743645
Baseline,Avg BF-BOF,2035,220.5232914
Baseline,Avg BF-BOF,2036,194.4079023
Baseline,Avg BF-BOF,2037,173.0613957
Baseline,Avg BF-BOF,2038,148.1178651
Baseline,Avg BF-BOF,2039,135.3396618
Baseline,Avg BF-BOF,2040,125.9710846
Baseline,Avg BF-BOF,2041,123.7101448
Baseline,Avg BF-BOF,2042,120.7162639
Baseline,Avg BF-BOF,2043,119.4502653
Baseline,Avg BF-BOF,2044,119.3193463
Baseline,Avg BF-BOF,2045,119.0511024
Baseline,Avg BF-BOF,2046,118.7823811
Baseline,Avg BF-BOF,2047,118.5393461
Baseline,Avg BF-BOF,2048,118.5206543
Baseline,Avg BF-BOF,2049,113.0361149
Baseline,Avg BF-BOF,2050,112.7957141
Baseline,BAT BF-BOF,2020,330.17441
Baseline,BAT BF-BOF,2021,340.3282583
Baseline,BAT BF-BOF,2022,340.5348741
Baseline,BAT BF-BOF,2023,344.5951674
Baseline,BAT BF-BOF,2024,365.9240765
Baseline,BAT BF-BOF,2025,384.0700885
Baseline,BAT BF-BOF,2026,413.0002588
Baseline,BAT BF-BOF,2027,460.175516
Baseline,BAT BF-BOF,2028,500.0923098
Baseline,BAT BF-BOF,2029,549.980913
Baseline,BAT BF-BOF,2030,575.6988457
Baseline,BAT BF-BOF,2031,583.5852983
Baseline,BAT BF-BOF,2032,594.2466648
Baseline,BAT BF-BOF,2033,589.3711273
Baseline,BAT BF-BOF,2034,568.083633
Baseline,BAT BF-BOF,2035,555.2628256
Baseline,BAT BF-BOF,2036,539.372236
Baseline,BAT BF-BOF,2037,522.5552106
Baseline,BAT BF-BOF,2038,507.5352328
Baseline,BAT BF-BOF,2039,491.3073414
Baseline,BAT BF-BOF,2040,471.4550899
Baseline,BAT BF-BOF,2041,453.8735017
Baseline,BAT BF-BOF,2042,417.983431
Baseline,BAT BF-BOF,2043,377.2650459
Baseline,BAT BF-BOF,2044,368.1381395
Baseline,BAT BF-BOF,2045,365.0723824
Baseline,BAT BF-BOF,2046,358.5242481
Baseline,BAT BF-BOF,2047,354.9909952
Baseline,BAT BF-BOF,2048,353.5049023
Baseline,BAT BF-BOF,2049,329.9252071
Baseline,BAT BF-BOF,2050,329.6276107
Baseline,BAT BF-BOF_H2 PCI,2025,36.5809646
Baseline,BAT BF-BOF_H2 PCI,2026,71.18555142
Baseline,BAT BF-BOF_H2 PCI,2027,110.9572845
Baseline,BAT BF-BOF_H2 PCI,2028,135.6195557
Baseline,BAT BF-BOF_H2 PCI,2029,173.045103
Baseline,BAT BF-BOF_H2 PCI,2030,208.4648925
Baseline,BAT BF-BOF_H2 PCI,2031,243.4103752
Baseline,BAT BF-BOF_H2 PCI,2032,269.3434668
Baseline,BAT BF-BOF_H2 PCI,2033,307.4709333
Baseline,BAT BF-BOF_H2 PCI,2034,333.3831334
Baseline,BAT BF-BOF_H2 PCI,2035,361.9932998
Baseline,BAT BF-BOF_H2 PCI,2036,387.4860266
Baseline,BAT BF-BOF_H2 PCI,2037,408.8908265
Baseline,BAT BF-BOF_H2 PCI,2038,431.6911165
Baseline,BAT BF-BOF_H2 PCI,2039,445.4907236
Baseline,BAT BF-BOF_H2 PCI,2040,462.6906958
Baseline,BAT BF-BOF_H2 PCI,2041,475.3485551
Baseline,BAT BF-BOF_H2 PCI,2042,510.0207047
Baseline,BAT BF-BOF_H2 PCI,2043,552.1257423
Baseline,BAT BF-BOF_H2 PCI,2044,559.3928302
Baseline,BAT BF-BOF_H2 PCI,2045,560.5650373
Baseline,BAT BF-BOF_H2 PCI,2046,570.3577311
Baseline,BAT BF-BOF_H2 PCI,2047,578.7562044
Baseline,BAT BF-BOF_H2 PCI,2048,583.6880151
Baseline,BAT BF-BOF_H2 PCI,2049,604.6152991
Baseline,BAT BF-BOF_H2 PCI,2050,605.195505
Baseline,BAT BF-BOF_bio PCI,2021,3.238608305
Baseline,BAT BF-BOF_bio PCI,2022,4.597643549
Baseline,BAT BF-BOF_bio PCI,2023,4.597643549
Baseline,BAT BF-BOF_bio PCI,2024,7.014409853
Baseline,BAT BF-BOF_bio PCI,2025,7.014409853
Baseline,BAT BF-BOF_bio PCI,2026,6.999481454
Baseline,BAT BF-BOF_bio PCI,2027,6.998081458
Baseline,BAT BF-BOF_bio PCI,2028,6.997337925
Baseline,BAT BF-BOF_bio PCI,2029,6.996326891
Baseline,BAT BF-BOF_bio PCI,2030,6.910723872
Baseline,BAT BF-BOF_bio PCI,2031,6.650583462
Baseline,BAT BF-BOF_bio PCI,2032,6.63079745
Baseline,BAT BF-BOF_bio PCI,2033,6.484946966
