"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","AUS","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",1126.3
"FPS","BRA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",2477.3
"FPS","CAN","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",1783.1
"FPS","CHN","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",18797.7
"FPS","CSA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",4251
"FPS","EEU","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",2569.4
"FPS","EURA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",1587.6
"FPS","GCC","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",680.1
"FPS","IND","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",5369.2
"FPS","IDN","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",849.4
"FPS","JPN","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",4292.4
"FPS","MENA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",3561.9
"FPS","RUS","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",2255.5
"FPS","SA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",554.6
"FPS","SAF","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",538.6
"FPS","SEAO","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",1553.6
"FPS","KOR","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",1419.9
"FPS","SSA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",2683.4
"FPS","GBR","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",2156.9
"FPS","USA","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",13709.5
"FPS","WEU","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",10225.7
"FPS","WORLD","New deployment","Vehicles","ICE","Transport","Vehicles (thousands)","2020",82443.2
"FPS","AUS","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",0.9
"FPS","BRA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",0.2
"FPS","CAN","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",5.8
"FPS","CHN","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",91.1
"FPS","CSA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",0.5
"FPS","EEU","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",3.1
"FPS","EURA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",6
"FPS","GCC","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",2.3
"FPS","IND","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",0
"FPS","IDN","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",0
"FPS","JPN","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",10.8
"FPS","MENA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",13.3
"FPS","RUS","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",7.6
"FPS","SA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",2.5
"FPS","SAF","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",0.1
"FPS","SEAO","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",1.3
"FPS","KOR","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",1.2
"FPS","SSA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",9
"FPS","GBR","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",15.5
"FPS","USA","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",37.5
"FPS","WEU","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",48.6
"FPS","WORLD","New deployment","Vehicles","PHEV","Transport","Vehicles (thousands)","2020",257.3
"FPS","AUS","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",9.5
"FPS","BRA","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",1.1
"FPS","CAN","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",54.9
"FPS","CHN","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",1152.6
"FPS","CSA","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",9.2
"FPS","EEU","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",22.3
"FPS","EURA","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",1
"FPS","GCC","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",0.4
"FPS","IND","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",7.4
"FPS","IDN","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",0.5
"FPS","JPN","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",16.2
"FPS","MENA","New deployment","Vehicles","BEV","Transport","Vehicles (thousands)","2020",15.8
