"Scenario","Region","Sector","Units","Variable_class","Sub_variable_class_1","Sub_variable_class_2","year","value"
"FPS","AUS","Power","GW","Capacity","Electricity generation","Coal","2020",24.37481146
"FPS","BRA","Power","GW","Capacity","Electricity generation","Coal","2020",4.710473788
"FPS","CAN","Power","GW","Capacity","Electricity generation","Coal","2020",9.715360772
"FPS","CHN","Power","GW","Capacity","Electricity generation","Coal","2020",1253.276355
"FPS","CSA","Power","GW","Capacity","Electricity generation","Coal","2020",13.56100315
"FPS","EEU","Power","GW","Capacity","Electricity generation","Coal","2020",52.31917013
"FPS","EURA","Power","GW","Capacity","Electricity generation","Coal","2020",38.28643985
"FPS","GCC","Power","GW","Capacity","Electricity generation","Coal","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Coal","2020",229.7674138
"FPS","IDN","Power","GW","Capacity","Electricity generation","Coal","2020",35.78998838
"FPS","JPN","Power","GW","Capacity","Electricity generation","Coal","2020",43.40478655
"FPS","MENA","Power","GW","Capacity","Electricity generation","Coal","2020",27.44258285
"FPS","RUS","Power","GW","Capacity","Electricity generation","Coal","2020",38.3515113
"FPS","SA","Power","GW","Capacity","Electricity generation","Coal","2020",4.656097724
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Coal","2020",32.30527768
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Coal","2020",62.23500312
"FPS","KOR","Power","GW","Capacity","Electricity generation","Coal","2020",33.43754378
"FPS","SSA","Power","GW","Capacity","Electricity generation","Coal","2020",3.139637324
"FPS","GBR","Power","GW","Capacity","Electricity generation","Coal","2020",7.239943875
"FPS","USA","Power","GW","Capacity","Electricity generation","Coal","2020",221.3483038
"FPS","WEU","Power","GW","Capacity","Electricity generation","Coal","2020",78.86672081
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Coal","2020",2214.228425
"FPS","AUS","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","BRA","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","CAN","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","CHN","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","CSA","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","EEU","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","EURA","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","GCC","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","IDN","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","JPN","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","MENA","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","RUS","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","SA","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
"FPS","KOR","Power","GW","Capacity","Electricity generation","Coal CCS","2020",0
