"Annual energy","units","scenario","year","value","scenario_geography"
"oil_final","EJ","Oxford2021_base","2019",138.7952,"Global"
"coal_final","EJ","Oxford2021_base","2019",39.3006,"Global"
"gas_final","EJ","Oxford2021_base","2019",57.426,"Global"
"coal_electricity","EJ","Oxford2021_base","2019",37.0552,"Global"
"gas_electricity","EJ","Oxford2021_base","2019",22.746,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2019",9.894,"Global"
"hydro_electricity","EJ","Oxford2021_base","2019",15.402,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2019",2.63286988,"Global"
"wind_electricity","EJ","Oxford2021_base","2019",4.76386012,"Global"
"solar_electricity","EJ","Oxford2021_base","2019",2.268,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2019",0.00034578,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2019",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2019",0,"Global"
"hydrogen","EJ","Oxford2021_base","2019",0.001351,"Global"
"oil_final","EJ","Oxford2021_fast","2019",137.6446879,"Global"
"coal_final","EJ","Oxford2021_fast","2019",38.53,"Global"
"gas_final","EJ","Oxford2021_fast","2019",55.1170437,"Global"
"coal_electricity","EJ","Oxford2021_fast","2019",36.4,"Global"
"gas_electricity","EJ","Oxford2021_fast","2019",24.63669053,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2019",9.894,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2019",15.402,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2019",2.86,"Global"
"wind_electricity","EJ","Oxford2021_fast","2019",5.52,"Global"
"solar_electricity","EJ","Oxford2021_fast","2019",2.772,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2019",0.0005424,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2019",1.6e-05,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2019",9e-07,"Global"
"hydrogen","EJ","Oxford2021_fast","2019",0.00216337,"Global"
"oil_final","EJ","Oxford2021_base","2020",141.205024,"Global"
"coal_final","EJ","Oxford2021_base","2020",40.086612,"Global"
"gas_final","EJ","Oxford2021_base","2020",58.57452,"Global"
"coal_electricity","EJ","Oxford2021_base","2020",37.7221936,"Global"
"gas_electricity","EJ","Oxford2021_base","2020",23.20092,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2020",10.09188,"Global"
"hydro_electricity","EJ","Oxford2021_base","2020",15.71004,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2020",2.66412576,"Global"
"wind_electricity","EJ","Oxford2021_base","2020",4.93296925,"Global"
"solar_electricity","EJ","Oxford2021_base","2020",2.44944,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2020",0.0003527,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2020",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2020",0,"Global"
"hydrogen","EJ","Oxford2021_base","2020",0.00137802,"Global"
"oil_final","EJ","Oxford2021_fast","2020",138.6350486,"Global"
"coal_final","EJ","Oxford2021_fast","2020",38.51494914,"Global"
"gas_final","EJ","Oxford2021_fast","2020",53.75820782,"Global"
"coal_electricity","EJ","Oxford2021_fast","2020",36.4,"Global"
"gas_electricity","EJ","Oxford2021_fast","2020",26.85713807,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2020",10.09188,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2020",15.71004,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2020",3.146,"Global"
"wind_electricity","EJ","Oxford2021_fast","2020",6.624,"Global"
"solar_electricity","EJ","Oxford2021_fast","2020",3.65904,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2020",0.00086784,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2020",2.56e-05,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2020",1.62e-06,"Global"
"hydrogen","EJ","Oxford2021_fast","2020",0.00353645,"Global"
"oil_final","EJ","Oxford2021_base","2021",143.6264365,"Global"
"coal_final","EJ","Oxford2021_base","2021",40.88834424,"Global"
