"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2021","1.5C-Unif","Global","Power","CoalCap","Capacity","MW",2020,2251033500
"GECO2021","1.5C-Unif","Global","Power","CoalCap","Capacity","MW",2025,2036304250
"GECO2021","1.5C-Unif","Global","Power","CoalCap","Capacity","MW",2030,1666310500
"GECO2021","1.5C-Unif","Global","Power","CoalCap","Capacity","MW",2040,327003343.75
"GECO2021","1.5C-Unif","Global","Power","CoalCap","Capacity","MW",2050,113609890.625
"GECO2021","1.5C-Unif","Global","Power","GasCap","Capacity","MW",2020,1727001125
"GECO2021","1.5C-Unif","Global","Power","GasCap","Capacity","MW",2025,2026686375
"GECO2021","1.5C-Unif","Global","Power","GasCap","Capacity","MW",2030,2226678000
"GECO2021","1.5C-Unif","Global","Power","GasCap","Capacity","MW",2040,2263006250
"GECO2021","1.5C-Unif","Global","Power","GasCap","Capacity","MW",2050,2433423250
"GECO2021","1.5C-Unif","Global","Power","HydroCap","Capacity","MW",2020,1518436125
"GECO2021","1.5C-Unif","Global","Power","HydroCap","Capacity","MW",2025,1595085875
"GECO2021","1.5C-Unif","Global","Power","HydroCap","Capacity","MW",2030,1710427000
"GECO2021","1.5C-Unif","Global","Power","HydroCap","Capacity","MW",2040,1957184000
"GECO2021","1.5C-Unif","Global","Power","HydroCap","Capacity","MW",2050,2193464000
"GECO2021","1.5C-Unif","Global","Power","NuclearCap","Capacity","MW",2020,382186843.75
"GECO2021","1.5C-Unif","Global","Power","NuclearCap","Capacity","MW",2025,423528281.25
"GECO2021","1.5C-Unif","Global","Power","NuclearCap","Capacity","MW",2030,693301312.5
"GECO2021","1.5C-Unif","Global","Power","NuclearCap","Capacity","MW",2040,1289079250
"GECO2021","1.5C-Unif","Global","Power","NuclearCap","Capacity","MW",2050,1371272625
"GECO2021","1.5C-Unif","Global","Power","OilCap","Capacity","MW",2020,394545968.75
"GECO2021","1.5C-Unif","Global","Power","OilCap","Capacity","MW",2025,386976812.5
"GECO2021","1.5C-Unif","Global","Power","OilCap","Capacity","MW",2030,446599093.75
"GECO2021","1.5C-Unif","Global","Power","OilCap","Capacity","MW",2040,501351937.5
"GECO2021","1.5C-Unif","Global","Power","OilCap","Capacity","MW",2050,441602281.25
"GECO2021","1.5C-Unif","Global","Power","RenewablesCap","Capacity","MW",2020,1451799875
"GECO2021","1.5C-Unif","Global","Power","RenewablesCap","Capacity","MW",2025,2856799125
"GECO2021","1.5C-Unif","Global","Power","RenewablesCap","Capacity","MW",2030,6086352500
"GECO2021","1.5C-Unif","Global","Power","RenewablesCap","Capacity","MW",2040,14144415000
"GECO2021","1.5C-Unif","Global","Power","RenewablesCap","Capacity","MW",2050,21935180000
"GECO2021","CurPol","Global","Power","CoalCap","Capacity","MW",2020,2251977750
"GECO2021","CurPol","Global","Power","CoalCap","Capacity","MW",2025,2132633750
"GECO2021","CurPol","Global","Power","CoalCap","Capacity","MW",2030,2180193500
"GECO2021","CurPol","Global","Power","CoalCap","Capacity","MW",2040,2482906750
"GECO2021","CurPol","Global","Power","CoalCap","Capacity","MW",2050,2567165500
