"source","scenario","scenario_geography","sector","indicator","technology","units","year","value"
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","CoalCap","GW",2022,2236.33
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","CoalCap","GW",2030,2039.28
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","CoalCap","GW",2035,1798.91
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","CoalCap","GW",2040,1562.01
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","CoalCap","GW",2050,1063.5
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","GasCap","GW",2022,1875.46
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","GasCap","GW",2030,1910.26
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","GasCap","GW",2035,1763.49
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","GasCap","GW",2040,1646.4
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","GasCap","GW",2050,1424.21
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","HydroCap","GW",2022,1392.05
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","HydroCap","GW",2030,1620.41
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","HydroCap","GW",2035,1803.9
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","HydroCap","GW",2040,1990.71
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","HydroCap","GW",2050,2303.83
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","NuclearCap","GW",2022,416.62
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","NuclearCap","GW",2030,496.5
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","NuclearCap","GW",2035,586.95
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","NuclearCap","GW",2040,676.88
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","NuclearCap","GW",2050,769.1
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","OilCap","GW",2022,423.01
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","OilCap","GW",2030,283.48
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","OilCap","GW",2035,233.6
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","OilCap","GW",2040,202.14
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","OilCap","GW",2050,150.04
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","RenewablesCap","GW",2022,2236.82
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","RenewablesCap","GW",2030,8204.02
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","RenewablesCap","GW",2035,12787.85
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","RenewablesCap","GW",2040,17133.07
"World Energy Outlook 2023","APS","Global","Power","Electrical capacity","RenewablesCap","GW",2050,23352.94
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","CoalCap","TWh",2022,10427.91
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","CoalCap","TWh",2030,6997.93
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","CoalCap","TWh",2035,4484.57
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","CoalCap","TWh",2040,3341.27
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","CoalCap","TWh",2050,2244.25
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","GasCap","TWh",2022,6500.23
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","GasCap","TWh",2030,6054.57
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","GasCap","TWh",2035,4988.59
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","GasCap","TWh",2040,4471.03
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","GasCap","TWh",2050,3319.02
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","HydroCap","TWh",2022,4377.8
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","HydroCap","TWh",2030,5071.16
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","HydroCap","TWh",2035,5653.2
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","HydroCap","TWh",2040,6283.98
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","HydroCap","TWh",2050,7432.33
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","NuclearCap","TWh",2022,2681.83
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","NuclearCap","TWh",2030,3495.73
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","NuclearCap","TWh",2035,4085.83
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","NuclearCap","TWh",2040,4700.8
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","NuclearCap","TWh",2050,5300.88
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","OilCap","TWh",2022,708.67
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","OilCap","TWh",2030,351.62
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","OilCap","TWh",2035,261.74
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","OilCap","TWh",2040,211.8
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","OilCap","TWh",2050,144.46
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","RenewablesCap","TWh",2022,4220.85
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","RenewablesCap","TWh",2030,14334.37
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","RenewablesCap","TWh",2035,23528.92
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","RenewablesCap","TWh",2040,32912.86
"World Energy Outlook 2023","APS","Global","Power","Electricity generation","RenewablesCap","TWh",2050,48768.06
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","CoalCap","GW",2022,2236.33
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","CoalCap","GW",2030,1492.41
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","CoalCap","GW",2035,1005.38
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","CoalCap","GW",2040,679.04
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","CoalCap","GW",2050,394.81
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","GasCap","GW",2022,1875.46
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","GasCap","GW",2030,1760.14
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","GasCap","GW",2035,1447.75
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","GasCap","GW",2040,1160.13
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","GasCap","GW",2050,699.77
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","HydroCap","GW",2022,1392.05
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","HydroCap","GW",2030,1764.52
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","HydroCap","GW",2035,2053.89
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","HydroCap","GW",2040,2312.76
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","HydroCap","GW",2050,2612.07
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","NuclearCap","GW",2022,416.62
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","NuclearCap","GW",2030,541.4
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","NuclearCap","GW",2035,687.79
"World Energy Outlook 2023","NZE","Global","Power","Electrical capacity","NuclearCap","GW",2040,812.55
