source,scenario,scenario_geography,sector,indicator,technology,units,year,value
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2010,1613.76
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2021,2200.53
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2022,2236.33
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2030,2126.68
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2035,1962.25
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2040,1805.79
WEO2023,STEPS,Global,Power,Capacity,CoalCap,GW,2050,1376.06
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2010,1389.24
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2021,1853.81
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2022,1875.46
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2030,2071.84
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2035,2144.64
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2040,2195.65
WEO2023,STEPS,Global,Power,Capacity,GasCap,GW,2050,2276.42
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2010,1027.42
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2021,1359.63
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2022,1392.05
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2030,1570.96
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2035,1681.2
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2040,1801.46
WEO2023,STEPS,Global,Power,Capacity,HydroCap,GW,2050,2028.25
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2010,402.56
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2021,412.6
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2022,416.62
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2030,482.38
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2035,521.28
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2040,557.05
WEO2023,STEPS,Global,Power,Capacity,NuclearCap,GW,2050,621.71
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2010,436.41
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2021,425.91
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2022,423.01
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2030,301.07
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2035,268.73
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2040,235.91
WEO2023,STEPS,Global,Power,Capacity,OilCap,GW,2050,178.43
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2010,305.67
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2021,1932.74
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2022,2236.82
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2030,7049.17
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2035,10285.65
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2040,13188.67
WEO2023,STEPS,Global,Power,Capacity,RenewablesCap,GW,2050,17111.53
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2010,152.922
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2021,167.353
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2022,170.177
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2030,146.731
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2035,130.464
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2040,118.882
WEO2023,STEPS,Global,Coal,Total energy supply,Coal,EJ,2050,101.564
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2010,115.222
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2021,146.25
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2022,144.079
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2030,148.688
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2035,146.851
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2040,145.727
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Gas,EJ,2050,144.42
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2010,173.018
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2021,182.443
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2022,186.738
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2030,194.938
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2035,190.648
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2040,186.972
WEO2023,STEPS,Global,Oil&Gas,Total energy supply,Oil,EJ,2050,185.825
WEO2023,NZE_2050,Global,Power,Capacity,CoalCap,GW,2022,2236.33
WEO2023,NZE_2050,Global,Power,Capacity,CoalCap,GW,2030,1492.41
WEO2023,NZE_2050,Global,Power,Capacity,CoalCap,GW,2035,1005.38
WEO2023,NZE_2050,Global,Power,Capacity,CoalCap,GW,2040,679.04
WEO2023,NZE_2050,Global,Power,Capacity,CoalCap,GW,2050,394.81
WEO2023,NZE_2050,Global,Power,Capacity,GasCap,GW,2022,1875.46
WEO2023,NZE_2050,Global,Power,Capacity,GasCap,GW,2030,1760.14
WEO2023,NZE_2050,Global,Power,Capacity,GasCap,GW,2035,1447.75
WEO2023,NZE_2050,Global,Power,Capacity,GasCap,GW,2040,1160.13
WEO2023,NZE_2050,Global,Power,Capacity,GasCap,GW,2050,699.77
WEO2023,NZE_2050,Global,Power,Capacity,HydroCap,GW,2022,1392.05
WEO2023,NZE_2050,Global,Power,Capacity,HydroCap,GW,2030,1764.52
WEO2023,NZE_2050,Global,Power,Capacity,HydroCap,GW,2035,2053.89
WEO2023,NZE_2050,Global,Power,Capacity,HydroCap,GW,2040,2312.76
WEO2023,NZE_2050,Global,Power,Capacity,HydroCap,GW,2050,2612.07
WEO2023,NZE_2050,Global,Power,Capacity,NuclearCap,GW,2022,416.62
WEO2023,NZE_2050,Global,Power,Capacity,NuclearCap,GW,2030,541.4
WEO2023,NZE_2050,Global,Power,Capacity,NuclearCap,GW,2035,687.79
WEO2023,NZE_2050,Global,Power,Capacity,NuclearCap,GW,2040,812.55
WEO2023,NZE_2050,Global,Power,Capacity,NuclearCap,GW,2050,915.7
WEO2023,NZE_2050,Global,Power,Capacity,OilCap,GW,2022,423.01
WEO2023,NZE_2050,Global,Power,Capacity,OilCap,GW,2030,220.15
WEO2023,NZE_2050,Global,Power,Capacity,OilCap,GW,2035,141.33
WEO2023,NZE_2050,Global,Power,Capacity,OilCap,GW,2040,74.57
WEO2023,NZE_2050,Global,Power,Capacity,OilCap,GW,2050,38.61
WEO2023,NZE_2050,Global,Power,Capacity,RenewablesCap,GW,2022,2236.82
WEO2023,NZE_2050,Global,Power,Capacity,RenewablesCap,GW,2030,9387.66
WEO2023,NZE_2050,Global,Power,Capacity,RenewablesCap,GW,2035,15832.48
WEO2023,NZE_2050,Global,Power,Capacity,RenewablesCap,GW,2040,21552.76
WEO2023,NZE_2050,Global,Power,Capacity,RenewablesCap,GW,2050,28203.52
WEO2023,NZE_2050,Global,Coal,Total energy supply,Coal,EJ,2022,170.177
WEO2023,NZE_2050,Global,Coal,Total energy supply,Coal,EJ,2030,95.458
WEO2023,NZE_2050,Global,Coal,Total energy supply,Coal,EJ,2035,49.927
WEO2023,NZE_2050,Global,Coal,Total energy supply,Coal,EJ,2040,25.389
WEO2023,NZE_2050,Global,Coal,Total energy supply,Coal,EJ,2050,14.637
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Gas,EJ,2022,144.079
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Gas,EJ,2030,118.374
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Gas,EJ,2035,76.969
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Gas,EJ,2040,52.892
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Gas,EJ,2050,32.023
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Oil,EJ,2022,186.738
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Oil,EJ,2030,148.22
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Oil,EJ,2035,110.404
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Oil,EJ,2040,78.932
WEO2023,NZE_2050,Global,Oil&Gas,Total energy supply,Oil,EJ,2050,41.686
WEO2023,APS,Global,Power,Capacity,CoalCap,GW,2022,2236.33
WEO2023,APS,Global,Power,Capacity,CoalCap,GW,2030,2039.28
WEO2023,APS,Global,Power,Capacity,CoalCap,GW,2035,1798.91
WEO2023,APS,Global,Power,Capacity,CoalCap,GW,2040,1562.01
WEO2023,APS,Global,Power,Capacity,CoalCap,GW,2050,1063.5
WEO2023,APS,Global,Power,Capacity,GasCap,GW,2022,1875.46
WEO2023,APS,Global,Power,Capacity,GasCap,GW,2030,1910.26
WEO2023,APS,Global,Power,Capacity,GasCap,GW,2035,1763.49
WEO2023,APS,Global,Power,Capacity,GasCap,GW,2040,1646.4
WEO2023,APS,Global,Power,Capacity,GasCap,GW,2050,1424.21
WEO2023,APS,Global,Power,Capacity,HydroCap,GW,2022,1392.05
WEO2023,APS,Global,Power,Capacity,HydroCap,GW,2030,1620.41
WEO2023,APS,Global,Power,Capacity,HydroCap,GW,2035,1803.9
WEO2023,APS,Global,Power,Capacity,HydroCap,GW,2040,1990.71
WEO2023,APS,Global,Power,Capacity,HydroCap,GW,2050,2303.83
WEO2023,APS,Global,Power,Capacity,NuclearCap,GW,2022,416.62
WEO2023,APS,Global,Power,Capacity,NuclearCap,GW,2030,496.5
WEO2023,APS,Global,Power,Capacity,NuclearCap,GW,2035,586.95
WEO2023,APS,Global,Power,Capacity,NuclearCap,GW,2040,676.88
WEO2023,APS,Global,Power,Capacity,NuclearCap,GW,2050,769.1
WEO2023,APS,Global,Power,Capacity,OilCap,GW,2022,423.01
WEO2023,APS,Global,Power,Capacity,OilCap,GW,2030,283.48
WEO2023,APS,Global,Power,Capacity,OilCap,GW,2035,233.6
WEO2023,APS,Global,Power,Capacity,OilCap,GW,2040,202.14
WEO2023,APS,Global,Power,Capacity,OilCap,GW,2050,150.04
