"source","scenario","scenario_geography","sector","indicator","technology","units","year","value"
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2010,187.7
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2015,193.87
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2019,196.71
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2020,197
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2030,205.92
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2035,211.39
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2040,216.34
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2045,220.3
"WEO2021","STEPS","NorthAmerica","Power","Capacity","HydroCap","GW",2050,223.94
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2010,101.02
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2015,102.24
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2019,102.65
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2020,102.94
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2030,105.92
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2035,107.27
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2040,108.85
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2045,110
"WEO2021","STEPS","US","Power","Capacity","HydroCap","GW",2050,110.9
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2010,144.13
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2015,161.2
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2019,185.11
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2020,186.41
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2030,206.22
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2035,217.25
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2040,231.9
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2045,253.45
"WEO2021","STEPS","LatinAmerica","Power","Capacity","HydroCap","GW",2050,273.96
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2010,80.7
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2015,91.65
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2019,110.23
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2020,110.41
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2030,112.61
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2035,115.55
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2040,120.3
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2045,128.61
"WEO2021","STEPS","Brazil","Power","Capacity","HydroCap","GW",2050,138.06
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2010,221.39
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2015,239.67
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2019,249.38
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2020,253
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2030,272.7
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2035,283.26
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2040,293.38
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2045,302.99
"WEO2021","STEPS","Europe","Power","Capacity","HydroCap","GW",2050,312.56
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2010,143.11
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2015,148.31
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2019,150.91
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2020,151.37
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2030,157.33
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2035,160.62
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2040,163.48
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2045,165.83
"WEO2021","STEPS","EU27","Power","Capacity","HydroCap","GW",2050,168.13
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2010,26.56
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2015,29.29
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2019,36.66
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2020,37.25
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2030,57.77
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2035,65.95
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2040,80.37
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2045,101.39
"WEO2021","STEPS","Africa","Power","Capacity","HydroCap","GW",2050,127.58
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2010,12.7
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2015,16.03
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2019,16.75
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2020,16.76
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2030,20.2
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2035,22.35
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2040,24.09
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2045,25.5
"WEO2021","STEPS","MiddleEast","Power","Capacity","HydroCap","GW",2050,26.29
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2010,64.13
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2015,68.35
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2019,69.76
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2020,70.04
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2030,75.64
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2035,79.88
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2040,83.39
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2045,86.17
"WEO2021","STEPS","Eurasia","Power","Capacity","HydroCap","GW",2050,88.68
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2010,47.43
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2015,51
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2019,51.84
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2020,51.83
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2030,54.66
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2035,57.23
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2040,58.63
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2045,59.11
"WEO2021","STEPS","Russia","Power","Capacity","HydroCap","GW",2050,59.15
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2010,370.06
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2015,500.48
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2019,552.11
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2020,566.59
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2030,725.29
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2035,787.41
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2040,849.64
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2045,900.36
"WEO2021","STEPS","AsiaPacific","Power","Capacity","HydroCap","GW",2050,942.18
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2010,216.06
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2015,319.54
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2019,356.43
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2020,368.55
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2030,461.13
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2035,484.26
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2040,510.35
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2045,530.44
"WEO2021","STEPS","China","Power","Capacity","HydroCap","GW",2050,545.95
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2010,40.24
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2015,46.42
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2019,49.4
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2020,49.88
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2030,76.43
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2035,89.46
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2040,101.35
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2045,112.96
"WEO2021","STEPS","India","Power","Capacity","HydroCap","GW",2050,124.99
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2010,47.74
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2015,50.03
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2019,50.03
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2020,50.04
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2030,50.4
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2035,50.71
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2040,50.92
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2045,51.05
"WEO2021","STEPS","Japan","Power","Capacity","HydroCap","GW",2050,51.14
"WEO2021","STEPS","Southeast Asia","Power","Capacity","HydroCap","GW",2010,26.43
"WEO2021","STEPS","Southeast Asia","Power","Capacity","HydroCap","GW",2015,42.06
"WEO2021","STEPS","Southeast Asia","Power","Capacity","HydroCap","GW",2019,47.54
